candidate_row_id,task_code,year_reported,title,doi,source_databases,adjudication_status,adjudication_reason,canonical_row_id
828,A8,2021,PD41-01 ROBOTIC-ASSISTED FLUOROSCOPIC-GUIDED RENAL PUNCTURE HAS COMPARABLE SURGICAL OUTCOMES WITH ULTRASOUND-GUIDED IN ENDOSCOPIC COMBINED INTRARENAL SURGERY: A RANDOMIZED CONTROLLED TRIAL,10.1097/ju.0000000000002051.01,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
835,A8,2021,Robotic Assistance System for Cone-Beam Computed Tomography-Guided Percutaneous Needle Placement,10.1007/s00270-021-02938-7,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
841,A8,2021,Robotic-Navigated Percutaneous Pedicle Screw Placement Has Less Facet Joint Violation Than Fluoroscopy-Guided Percutaneous Screws,10.1016/j.wneu.2021.04.117,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
850,A8,2021,Task-Specific Trajectory Optimisation for Twin-Robotic X-Ray Tomography,10.1109/tci.2021.3102824,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",850
854,A8,2021,The effect of tin prefiltration on extremity cone-beam CT imaging with a twin robotic X-ray system,10.1016/j.radi.2021.10.009,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",854
869,A8,2021,Visualization of extracranial-intracranial bypass in moyamoya patients using intraoperative three-dimensional digital subtraction angiography with intravenous contrast injection and robotic C-arm: patient series,10.3171/case2057,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",869
883,A8,2022,Accuracy and Safety of Robot‐Assisted versus Fluoroscopy‐Guided Posterior C1 Lateral Mass and C2 Pedicle Screw Internal Fixation for Atlantoaxial Dislocation: A Preliminary Study,10.1155/2022/8508113,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
892,A8,2022,AutoCOR: Autonomous Condylar Offset Ratio Calculator on TKA-Postoperative Lateral Knee X-ray,,arXiv,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
894,A8,2022,Autonomous atomic Hamiltonian construction and active sampling of x-ray absorption spectroscopy by adversarial Bayesian optimization,,arXiv,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
896,A8,2022,COMBINING REAL-TIME 3-D IMAGING AND AUGMENTED FLUOROSCOPY WITH ROBOTIC BRONCHOSCOPY FOR THE DIAGNOSIS OF PERIPHERAL LUNG NODULES,10.1016/j.chest.2022.08.1720,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
901,A8,2022,CT-to-fluoroscopy registration versus scan-and-plan registration for robot-assisted insertion of lumbar pedicle screws,10.3171/2021.10.focus21506,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
910,A8,2022,Comparison of robot-assisted versus fluoroscopy-assisted minimally invasive transforaminal lumbar interbody fusion for degenerative lumbar spinal diseases: 2-year follow-up,10.1007/s11701-022-01442-5,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
911,A8,2022,Comparison of serum inflammatory indicators and radiographic results in MAKO robotic-assisted versus conventional total knee arthroplasty for knee osteoarthritis: a retrospective study of Chinese patients,10.1186/s12891-022-05373-y,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
912,A8,2022,Cone-Beam CT-Guided Transarterial Tagging of Endophytic Renal Tumors with Indocyanine Green for Robot-Assisted Partial Nephrectomy,10.1016/j.jvir.2022.04.016,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
915,A8,2022,Design and construction of a wireless robot that simulates head movements in cone beam computed tomography imaging,10.1017/s0263574722001072,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
920,A8,2022,Dosisreduktionspotenzial bei der Cone-Beam-CT-Bildgebung von Gelenken der oberen Extremität mit einem Twin Robotic X-ray System,10.1055/s-0042-1749926,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",920
923,A8,2022,Early Clinical and Radiographic Outcomes of Robot‐Assisted Versus Conventional Manual Total Knee Arthroplasty: A Randomized Controlled Study,10.1111/os.13323,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
928,A8,2022,Fluoroscopy-Guided Robotic System for Transforaminal Lumbar Epidural Injections,10.1109/tmrb.2022.3196321,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
941,A8,2022,MP44-19 PCNL USING ZEEGO ROBOTIC HYBRID SYSTEM HAS LOWER EFFECTIVE RADIATION DOSE THAN PCNL USING STANDARD FLUOROSCOPY,10.1097/ju.0000000000002610.19,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",941
944,A8,2022,Metal artifact reduction in ultra-high-resolution cone-beam CT imaging with a twin robotic X-ray system,10.1038/s41598-022-19978-9,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",944
946,A8,2022,Mixed reality interfaces for achieving desired views with robotic X-ray systems,10.1080/21681163.2022.2154272,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",946
949,A8,2022,Non-circular CBCT orbit design and realization on a clinical robotic C-arm for metal artifact reduction.,10.1117/12.2612448,Europe PMC,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",949
952,A8,2022,PD55-12 ULTRA-LOW DOSE INTRAOPERATIVE CT CONFIRMS STONE-FREE STATUS DURING PCNL USING ROBOTIC FLUOROSCOPY PLATFORM: A PROSPECTIVE QUALITY IMPROVEMENT STUDY,10.1097/ju.0000000000002635.12,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",952
959,A8,2022,Reference free method for robot CT imaging geometry estimation,10.1016/j.precisioneng.2022.07.005,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",959
960,A8,2022,Robot-Assisted Pedicle Screw Placement Led to Lower Screw Loosening Rate than Fluoroscopy-Guided Technique in Transforaminal Lumbar Interbody Fusion for Lumbar Degenerative Disease: A Single-Center Retrospective Study,10.3390/jcm11174989,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
964,A8,2022,Robotic Computed Tomography-Guided Celiac Plexus Neurolysis: Our Experience of Technique and Outcomes,10.2217/pmt-2021-0092,Europe PMC; OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
969,A8,2022,"Screw Insertion Time, Fluoroscopy Time, and Operation Time for Robotic-Assisted Lumbar Pedicle Screw Placement Compared With Freehand Technique",10.7759/cureus.25039,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
971,A8,2022,Size selection and placement of pedicle screws using robot-assisted versus fluoroscopy-guided techniques for thoracolumbar fractures: possible implications for the screw loosening rate,10.1186/s12893-022-01814-6,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
972,A8,2022,Static coded aperture in robotic X-ray tomography systems,10.1364/oe.449505,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",972
978,A8,2022,The efficacy of “TiRobot”orthopaedic robot-assisted VS conventional fluoroscopic percutaneous screw fixation of the sacroiliac joint,10.1007/s00264-022-05655-z,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
982,A8,2022,Trabecular bone microstructure analysis on data from a novel twin robotic X-ray device,10.1177/02841851221134973,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",982
983,A8,2022,Twin Robotic Gantry-Free Cone-Beam CT in Acute Elbow Trauma,10.1148/radiol.221200,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",983
984,A8,2022,Two-dimensional C-arm robotic navigation system (i-Navi) in spine surgery: a pilot study,10.1007/s11548-022-02751-8,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
994,A8,2022,"Workflow and performance of intraoperative CT, cone-beam CT, and robotic cone-beam CT for spinal navigation in 503 consecutive patients",10.3171/2021.10.focus21467,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",994
1008,A8,2023,An autonomous X-ray image acquisition and interpretation system for assisting percutaneous pelvic fracture fixation,10.1007/s11548-023-02941-y,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1008
1021,A8,2023,"Beschreibung und Vergleich von Workflow und Performance des intraoperativen CTs, Cone Beam CTs und robotischen Cone Beam CTs im Kontext der spinalen Navigation = Description and comparison of workflow and performance of intraoperative CT, cone-beam CT and robotic cone-beam CT in the context of spinal navigation",,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1030,A8,2023,Comparison in radiographic outcomes between robotic-assisted cruciate- retaining and posterior-stabilized total knee arthroplasty: a prospective randomized controlled study,10.21203/rs.3.rs-3419415/v1,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1031,A8,2023,Comparison of Radiographic and Patient-Reported Outcomes After Surgery in Adolescent Idiopathic Scoliosis Between Robotics and Navigation: An Analysis Using Propensity Score Matching,10.7759/cureus.49061,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1033,A8,2023,Comparison of robot versus fluoroscopy-assisted pedicle screw instrumentation in adolescent idiopathic scoliosis surgery: A Meta- Analysis,10.21203/rs.3.rs-3329364/v1,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1034,A8,2023,Comparison of robot versus fluoroscopy-assisted pedicle screw instrumentation in adolescent idiopathic scoliosis surgery: A retrospective study,10.3389/fsurg.2022.1085580,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1040,A8,2023,EFFECT OF ELECTROMAGNETIC VS SHAPE SENSING ROBOTIC NAVIGATION WITH 2D FLUOROSCOPY AND CONE BEAM CT ON DIAGNOSTIC YIELD OF BRONCHOSCOPIC BIOPSY OF LUNG NODULES: A THREE ARM STUDY,10.1016/j.chest.2023.07.3442,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1055,A8,2023,Improved accuracy of a novel fluoroscopy-based robotically assisted THA system compared to manual THA,10.1007/s11701-023-01623-w,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1060,A8,2023,Joint line position change in primary total knee arthroplasty: a radiographic analysis comparing conventional and robotic techniques,10.1007/s00264-023-06031-1,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1065,A8,2023,Low Radiation Protocol for Intraoperative Robotic C-Arm Can Enhance Adolescent Idiopathic Scoliosis Deformity Correction Accuracy and Safety,10.1177/21925682221147867,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1065
1067,A8,2023,MAKO robot-assisted total knee arthroplasty cannot reduce the aggravation of ankle varus incongruence after genu varus correction ≥ 10°: a radiographic assessment,10.1186/s12891-023-06597-2,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1070,A8,2023,MP42-06 ASSESSING THE ACCURACY OF PREOPERATIVE RADIOGRAPHIC IMAGING IN DETERMINING URETERAL STRICTURE LENGTH AT TIME OF ROBOTIC URETERAL RECONSTRUCTION,10.1097/ju.0000000000003280.06,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1076,A8,2023,"Mid-Term Survivorship, Radiographic and Functional Outcomes of Robotic-Assisted Unicompartmental Knee Arthroplasty",10.52198/23.sti.42.os1660,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1078,A8,2023,"Modular, Multi-Robot Integration of Laboratories: An Autonomous Solid-State Workflow for Powder X-Ray Diffraction",,arXiv,Excluded,"Industrial, materials, or non-clinical acquisition",
1089,A8,2023,Patient-reported and radiographic outcomes of a porous-coated acetabular cup in robotic assisted total hip arthroplasty at 2-year follow up,10.1016/j.jor.2023.10.003,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1092,A8,2023,Postoperative full leg radiographs exhibit less residual coronal varus deformity compared to intraoperative measurements in robotic arm‐assisted total knee arthroplasty with the MAKO™ system,10.1007/s00167-023-07386-z,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1098,A8,2023,Radiographic Outcomes of Robot-Assisted Versus Conventional Total Knee Arthroplasty,10.2106/jbjs.oa.23.00010,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1099,A8,2023,Real-Time Pose Tracking for a Continuum Guidewire Robot Under Fluoroscopic Imaging,10.1109/tmrb.2023.3260273,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1100,A8,2023,Real-World Performance of Autonomously Reporting Normal Chest Radiographs in NHS Trusts Using a Deep-Learning Algorithm on the GP Pathway,,arXiv,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1114,A8,2023,Runtime optimization of acquisition trajectories for X-ray computed tomography with a robotic sample holder,,arXiv,Excluded,"Industrial, materials, or non-clinical acquisition",
1133,A8,2023,USE OF THE NOVEL 1.1 MM CRYOPROBE AND CONE BEAM COMPUTED TOMOGRAPHY-GUIDED ROBOTIC BRONCHOSCOPY INCREASED DIAGNOSTIC YIELD FROM SUBCENTIMETRIC PERIPEHRAL NODULES,10.1016/j.chest.2023.07.3526,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1134,A8,2023,Use of robotic C-arm cone-beam computed tomography in surgical stabilization of rib fractures.,10.1016/j.injury.2023.111087,Europe PMC,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1134
1153,A8,2024,Accuracy and Clinical Outcomes of Fluoroscopy-Guided and Robotic-Assisted Percutaneous Pedicle Screw Fixation Performed by a Single Surgeon at a Single Center,10.21182/jmisst.2024.01172,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1154,A8,2024,Accuracy of robotic arm-assisted versus computed tomography-based navigation in total hip arthroplasty using the direct anterior approach: a retrospective study,10.1186/s12891-024-07891-3,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1156,A8,2024,Accurate puncture of targets in the lower lung lobes with respiratory motion using a teleoperated robotic system and low-dose computed tomography fluoroscopy: an experimental animal study,10.21037/qims-24-843,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1159,A8,2024,Analytical Inverse Kinematics for a Prismatic-Revolute Hybrid Joints Radiography Robot Mounted on the Ambulance,10.1109/tmech.2024.3442782,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1159
1179,A8,2024,Comment: how do I do it? Real-time three-dimensional robotic C-arm navigation for ventriculoperitoneal shunting.,10.1007/s00701-024-06367-6,Europe PMC,Excluded,Non-primary publication (review/comment/letter/erratum),
1185,A8,2024,Computed tomography measurements to predict need for robotic transversus abdominis release: a single institution analysis,10.1007/s10029-024-03007-x,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1195,A8,2024,Early Radiographic and Clinical Outcomes of Robotic‐arm‐assisted <scp><i>versus</i></scp> Conventional Total Knee Arthroplasty: A Multicenter Randomized Controlled Trial,10.1111/os.14196,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1208,A8,2024,Fluoroscopy and Cone Beam CT Guidance in Robotic Interventions,10.1016/j.tvir.2024.101007,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1213,A8,2024,How do I do it? Real-time three-dimensional robotic C-arm navigation for ventriculoperitoneal shunting.,10.1007/s00701-024-06224-6,Europe PMC,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1215,A8,2024,Improved radiographic outcomes and decreased complications rate on the femoral side can be achieved by a novel designed whole-process robotic assisted hip system for total hip arthroplasty: a prospective randomized controlled trial,10.1007/s11701-024-01835-8,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1217,A8,2024,Integration of a lightweight and table-mounted robotic alignment tool with automated patient-to-image registration using robotic cone-beam CT for intracranial biopsies and stereotactic electroencephalography,10.3171/2024.9.focus24525,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1217
1218,A8,2024,Intelligent control of robotic X-ray devices using a language-promptable digital twin,10.1007/s11548-025-03351-y,Europe PMC; OpenAlex; arXiv,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1218
1220,A8,2024,Investigating 4D respiratory cone-beam CT imaging for thoracic interventions on robotic C-arm systems: a deformable phantom study,10.1007/s13246-024-01491-0,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1220
1239,A8,2024,PD22-06 EVALUATING THE EFFICACY OF ROBOT-ASSISTED FLUOROSCOPIC RENAL PUNCTURE IN THE SUPINE POSITION: A GLOBAL MULTICENTER FIRST-IN-HUMAN TRIAL,10.1097/01.ju.0001009504.18450.e0.06,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1245,A8,2024,Radiation Exposure and Safety Considerations in Interventional Radiology: Comparison of a Twin Robotic X-ray System to a Conventional Angiography System,10.3390/jcm13102732,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1245
1246,A8,2024,Radiographic and clinical outcomes of robot-assisted pedicle screw instrumentation for adolescent idiopathic scoliosis,10.3389/fsurg.2024.1344802,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1247,A8,2024,Radiographic evaluation of robot-assisted versus manual total hip arthroplasty: a multicenter randomized controlled trial,10.1186/s10195-024-00773-3,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1252,A8,2024,Robot-Assisted 2D Fluoroscopic Needle Placement—A Phantom Study,10.3390/diagnostics14161723,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1257,A8,2024,"Robotic Arm–Assisted System Improved Accuracy of Cup Position and Orientation in Cementless Total Hip Arthroplasty for Dysplastic Hips: A Comparison Among Groups With Manual Placement, Computed Tomography–Based Navigation, and Robotic Surgery",10.1016/j.artd.2024.101461,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1264,A8,2024,Robotic-assisted Total Knee Arthroplasty Reduces Radiographic Outliers for Low-volume Total Knee Arthroplasty Surgeons,10.1016/j.artd.2023.101303,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1275,A8,2024,Take a shot! Natural language control of intelligent robotic X-ray systems in surgery,10.1007/s11548-024-03120-3,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1275
1287,A8,2024,Three-Dimensional Fluoroscopic System to Assess Robotically Placed Pedicle Screws,10.1097/bsd.0000000000001724,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1288,A8,2024,Tomosynthesis of the Appendicular Skeleton on a Twin Robotic X-ray System: A Cadaveric Fracture Study,10.1016/j.acra.2024.02.020,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1288
1293,A8,2024,Unveiling the Full Picture: Advanced Scanning Procedure for Complete Large Component Scans via Twin Robotic Computed Tomography,10.58286/29260,OpenAlex,Excluded,"Industrial, materials, or non-clinical acquisition",
1295,A8,2024,Use of a fluoroscopy‐based robotic‐assisted total hip arthroplasty system resulted in greater improvements in hip‐specific outcome measures at one‐year compared to a CT‐based robotic‐assisted system,10.1002/rcs.2650,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1297,A8,2024,Valgus stress knee radiographs accurately anticipate the bone resection in medial unicompartmental knee arthroplasty: Protocol validation using an image‐based robotic system,10.1002/ksa.12322,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1302,A8,2024,X-ray fluoroscopy guided localization and steering of miniature robots using virtual reality enhancement,10.3389/frobt.2024.1495445,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1305,A8,2025,3D Path Planning for Robot-assisted Vertebroplasty from Arbitrary Bi-plane X-ray via Differentiable Rendering,,arXiv,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1309,A8,2025,98. Robotic- and computer-assisted navigation in PSF for idiopathic scoliosis increase total radiation exposure for the patient but reduce intraoperative fluoroscopy time compared to freehand technique,10.1016/j.spinee.2025.08.281,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1322,A8,2025,Accuracy and reproducibility of a single‐pose image‐to‐robot registration method for mobile C‐arm cone beam CT guided histotripsy,10.1002/acm2.70132,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1328,A8,2025,Agreement of Coronal Limb Alignment Measures in Total Knee Arthroplasty: Comparative Analysis of Radiographic and Robotic Measurement in a Retrospective Cohort,10.60118/001c.132267,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
1329,A8,2025,An Autonomous Fluoroscopic Imaging System for Catheter Insertions by Bilateral Control Scheme: A Numerical Simulation Study,10.3390/machines13060498,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1329
1338,A8,2025,Assessing the accuracy of preoperative radiographic imaging in determining ureteral stricture length at the time of robotic ureteral reconstruction,10.4103/ijru.ijru_1_25,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1341,A8,2025,Autonomous AI for Multi-Pathology Detection in Chest X-Rays: A Multi-Site Study in the Indian Healthcare System,,arXiv,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1343,A8,2025,Autonomous Reporting of Normal Chest X-rays by Artificial Intelligence in the United Kingdom. Can We Take the Human Out of the Loop?,,arXiv,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1345,A8,2025,Autonomous X-ray Fluorescence Mapping of Chemically Heterogeneous Systems via a Correlative Feature Detection Framework,,arXiv,Excluded,"Industrial, materials, or non-clinical acquisition",
1356,A8,2025,Clinical and radiographic comparison of robot-assisted single-position versus traditional dual-position lateral lumbar interbody fusion,10.3171/2024.10.spine24808,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1358,A8,2025,Clinical experiences with robotic computed tomography-guided interventions: A comparison with manual technique,10.71152/ajms.v16i2.4375,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1364,A8,2025,"Comparative analysis of the pedicle screw accuracy, screw revision and loosening rate and radiation exposure of robotic-guided (RG), intraoperative computed tomography (iCT)-navigation guided, and fluoroscopy guided placement technique",10.1016/j.bas.2025.105899,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1369,A8,2025,Computed Tomography-Based Robotics Are More Accurate than Manual Instruments in Achieving Sagittal Alignment Targets in Total Knee Arthroplasty,10.1016/j.arth.2025.02.028,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1378,A8,2025,Development of a Single-arm Robotic Computed Tomography System,10.7779/jksnt.2025.45.2.136,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1382,A8,2025,Direct lateral vs. posterior-lateral approach in robotic-assisted total hip arthroplasty: clinical and radiographic comparison,10.1007/s00402-025-05911-y,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1392,A8,2025,"Efficacy of a novel, fluoroscopy-based robotic-assisted total hip arthroplasty system in restoring limb length and offset",10.1007/s00402-024-05648-0,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1407,A8,2025,Feasibility of synthetic CT images for robotic pedicle screw planning and navigation,10.1007/s00586-025-09568-4,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1409,A8,2025,Femoral and Patellar Radiographic Metrics Are Improved With Robotic-Assisted Total Knee Arthroplasty,10.1016/j.artd.2025.101838,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1420,A8,2025,Geometric Calibration of a 12-Axis Robotic X-Ray System for Large Animal Diagnostic Imaging,10.3390/app152212089,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1420
1425,A8,2025,Imageless and image‐based robotic‐assisted total knee arthroplasty achieve equivalent radiographic accuracy: A randomised controlled trial,10.1002/ksa.70123,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1427,A8,2025,Impact of Intraoperative C-arm 3D Imaging on the Diagnostic Yield of Robotic Shape-Sensing Navigation Transbronchial Biopsy,10.1016/j.atssr.2025.01.018,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1430,A8,2025,In vitro evaluation of six intraoral scanners for cone beam computed tomography data registration in robotic-assisted implant surgery: Impact of scanning experience,10.1016/j.jdent.2025.105684,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1435,A8,2025,Investigating Robot Control Policy Learning for Autonomous X-ray-guided Spine Procedures,10.1007/s11548-026-03716-x,arXiv,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1447,A8,2025,Patient Shielding in Ultra-High-Resolution Cone-Beam CT of the Upper Extremity with a Twin Robotic X-Ray System,10.3390/diagnostics15050596,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",1447
1457,A8,2025,ROBOTIC IMAGE-INTEGRATED NAVIGATIONAL BRONCHOSCOPIC ASSESSMENT OF DIGITAL TOMOSYNTHESIS AND AUGMENTED FLUOROSCOPY: ACCURACY AS CONFIRMED BY CONEBEAM COMPUTER TOMOGRAPHY,10.1016/j.chest.2025.09.115,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1464,A8,2025,Reconstruction of a 3D Real-World Coordinate System and a Vascular Map from Two 2D X-Ray Pixel Images for Operation of Magnetic Medical Robots,10.3390/app15116089,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1467,A8,2025,Respiratory Motion Compensation and Haptic Feedback for X-ray-Guided Teleoperated Robotic Needle Insertion,10.1109/biorob60516.2024.10719967,arXiv,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1474,A8,2025,Robot-assisted versus fluoroscopy-assisted kyphoplasty in treatment of severe osteoporotic vertebral compression fractures in the old patients: a retrospective study,10.1186/s12891-025-08564-5,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1475,A8,2025,Robotic Assistance in Simultaneous Bilateral Medial Unicompartmental Knee Arthroplasty: A Retrospective Cohort Study of 126 Knees Demonstrating Enhanced Radiographic Accuracy and Comparable Safety to Conventional Methods,10.1016/j.artd.2024.101594,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1476,A8,2025,Robotic Assistance is Associated With No Intraoperative Fluoroscopy or Radiation Exposure During Direct Anterior Total Hip Arthroplasty,10.1016/j.artd.2025.101617,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1504,A8,2025,Safer fluoroscopy guided femoral access using a passive robotic support with a 3D printed needle and guidewire inserter,10.1007/s11701-025-02895-0,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
1515,A8,2025,The Additional Accuracy Gained by Cone Beam CT in Shape-Sensing Robotic Bronchoscopy,10.1016/j.chpulm.2025.100203,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
