source,source_id,title,abstract,year,doi,record_url,public_full_text_url,public_full_text_identified,publication_type,mechanism_code,task_code,query,sources,source_ids,queries,work_key,task_en,task_cn,screening_decision,screening_reason,screening_level
OpenAlex,https://openalex.org/W4392251630,A Decision-Making Algorithm for Robotic Breast Ultrasound High-Quality Imaging via Broad Reinforcement Learning From Demonstration,"Robotic breast ultrasound (RBUS) aims to standardize breast ultrasonography, reduce the workload of sonographers, and provide high-quality ultrasound (US) images for subsequent diagnosis. In the process of RBUS screening, adjusting the US probe correctly and efficiently to acquire high-quality US images is fundamental and significant. In this letter, a learning-based US probe adjustment framework is proposed. Firstly, a lightweight multi-task combination approach is utilized for jointly assessing US imaging quality with multiple indicators. Then, an experience-guided learning algorithm, called broad reinforcement learning from demonstration (BRLfD), is proposed to efficiently learn the optimal US probe adjustment policy. The effectiveness of the learned policy is verified in five testing lesion locations. The results show that the US probe can reach the goal state in less than 5 steps on average, and the proposed method can automatically adjust the US probe efficiently to obtain high-quality breast US images for clinical diagnosis.",2024,10.1109/lra.2024.3371375,https://openalex.org/W4392251630,,0,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4392251630,robotic ultrasound,doi:10.1109/lra.2024.3371375,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
Europe PMC,37332035,Bridging the simulation-to-real gap for AI-based needle and target detection in robot-assisted ultrasound-guided interventions.,"<h4>Background</h4>Artificial intelligence (AI)-powered, robot-assisted, and ultrasound (US)-guided interventional radiology has the potential to increase the efficacy and cost-efficiency of interventional procedures while improving postsurgical outcomes and reducing the burden for medical personnel.<h4>Methods</h4>To overcome the lack of available clinical data needed to train state-of-the-art AI models, we propose a novel approach for generating synthetic ultrasound data from real, clinical preoperative three-dimensional (3D) data of different imaging modalities. With the synthetic data, we trained a deep learning-based detection algorithm for the localization of needle tip and target anatomy in US images. We validated our models on real, in vitro US data.<h4>Results</h4>The resulting models generalize well to unseen synthetic data and experimental in vitro data making the proposed approach a promising method to create AI-based models for applications of needle and target detection in minimally invasive US-guided procedures. Moreover, we show that by one-time calibration of the US and robot coordinate frames, our tracking algorithm can be used to accurately fine-position the robot in reach of the target based on 2D US images alone.<h4>Conclusions</h4>The proposed data generation approach is sufficient to bridge the simulation-to-real gap and has the potential to overcome data paucity challenges in interventional radiology. The proposed AI-based detection algorithm shows very promising results in terms of accuracy and frame rate.<h4>Relevance statement</h4>This approach can facilitate the development of next-generation AI algorithms for patient anatomy detection and needle tracking in US and their application to robotics.<h4>Key points</h4>• AI-based methods show promise for needle and target detection in US-guided interventions. • Publicly available, annotated datasets for training AI models are limited. • Synthetic, clinical-like US data can be generated from magnetic resonance or computed tomography data. • Models trained with synthetic US data generalize well to real in vitro US data. • Target detection with an AI model can be used for fine positioning of the robot.",2023,10.1186/s41747-023-00344-x,https://openalex.org/W4381149754,https://eurradiolexp.springeropen.com/counter/pdf/10.1186/s41747-023-00344-x,1,"Research Support, Non-U.S. Gov't; research-article; Journal Article",1.1,A1,robot-assisted ultrasound,Europe PMC; OpenAlex,37332035; https://openalex.org/W4381149754,robot-assisted ultrasound || robotic ultrasound,doi:10.1186/s41747-023-00344-x,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4200453233,Robot-assisted Breast Ultrasound Scanning Using Geometrical Analysis of the Seroma and Image Segmentation,"In this paper, we propose a robotic ultrasound imaging method that scans the breast in two separate phases to acquire high-quality ultrasound images. Our proposed system controls five Degrees of Freedom (DoFs) of the robot that hold an ultrasound probe to perform precise scanning. This system finds the desired trajectory based on geometrical analysis of the target inside the breast in a pre-scan phase and uses this information to control the probe in a post-scan phase. The proposed method updates the desired values of rotational and translational movement of the probe in the post-scan by calculating the center of mass of segmented target in each acquired frame and the average of image confidence map. The proposed method has been tested experimentally on a plastisol phantom. Given a specific trajectory, the position and orientation of the probe have been controlled at each point of the trajectory. The experiments’ result shows us that our proposed visual servoing algorithm successfully controls the probe to look at target tissue and is fast enough for use in a robotic control loop.",2021,10.1109/iros51168.2021.9636401,https://openalex.org/W4200453233,,0,conference-paper,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4200453233,robot-assisted ultrasound || robotic ultrasound,doi:10.1109/iros51168.2021.9636401,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4399849384,Class-Aware Cartilage Segmentation for Autonomous US-CT Registration in Robotic Intercostal Ultrasound Imaging,"Ultrasound imaging has been widely used in clinical examinations owing to the advantages of being portable, real-time, and radiation-free. Considering the potential of extensive deployment of autonomous examination systems in hospitals, robotic US imaging has attracted increased attention. However, due to the inter-patient variations, it is still challenging to have an optimal path for each patient, particularly for thoracic applications with limited acoustic windows, e.g., intercostal liver imaging. To address this problem, a class-aware cartilage bone segmentation network with geometry-constraint post-processing is presented to capture patient-specific rib skeletons. Then, a dense skeleton graph-based non-rigid registration is presented to map the intercostal scanning path from a generic template to individual patients. By explicitly considering the high-acoustic impedance bone structures, the transferred scanning path can be precisely located in the intercostal space, enhancing the visibility of internal organs by reducing the acoustic shadow. To evaluate the proposed approach, the final path mapping performance is validated on five distinct CTs and two volunteer US data, resulting in ten pairs of CT-US combinations. Results demonstrate that the proposed graph-based registration method can robustly and precisely map the path from CT template to individual patients (Euclidean error:$2.21\pm 1.11~mm$). Note to Practitioners—The precise mapping of trajectories has been a bottleneck in developing autonomous intercostal intervention within limited acoustic space. Existing methods, based on external features such as the skin surface or passive markers, fail to capture the acoustic properties of local tissues, leading to significant shadowing when ribs are involved. The proposed method begins by utilizing distinctive anatomical features to extract cartilage bones and stiff ribs through a class-aware segmentation network. To ensure the segmentation accuracy of the shape of the anatomy of interest, a VAE-based boundary-constraint post-processing in manifold space is developed. Subsequently, a dense skeleton graph-based registration is developed to explicitly consider the subcutaneous bone structure, allowing for the precise mapping of intercostal paths from generic templates to individual patients. Results from ten randomly paired CT and US datasets show that the proposed method accurately maps the intercostal path from the template to individual patients, significantly improving accuracy and robustness over previous methods. We believe that the proposed method can further pave the way for autonomous robotic US imaging.",2024,10.1109/tase.2024.3411784,https://openalex.org/W4399849384,,0,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4399849384,autonomous ultrasound || robotic ultrasound,doi:10.1109/tase.2024.3411784,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4396877696,A Portable Robot-Assisted Device With Built-In Intelligence for Autonomous Ultrasound Acquisitions in Follow-Up Diagnosis,"Robot-assisted ultrasound offers several technological advances over manual ultrasound scanning that can more effectively assist in clinical diagnosis and procedure guidance. However, the adoption of robotic ultrasound devices has been hindered by issues of portability and automation, especially in followed-up diagnosis. In this article, we develop a portable robotic system with built-in intelligence for autonomous ultrasound acquisition in follow-up diagnosis. Different from the widely used serial manipulator-based US device, this device is built using a 6-RSU parallel mechanism with compact size and manoeuvrability. We incorporate a force control algorithm and the robot-specific pose feedback mechanism to ensure safety and maintain image quality. Exploring possibilities for intelligence, we propose a follow-up diagnosis workflow tailored to specific clinical applications and present a multimodal reinforcement learning algorithm for automatic scanning based on a novel similarity network as reward. Our proposed methods is suitable for any target images instead of a few specific ones which increasing autonomous US acquisitions ability for US device. Our simulation experiments show a remarkable success rate of 98.21%, and phantom experiments validate the effectiveness and robustness of the robotic device system with a structural similarity index of 0.764 and a normalized cross-correlation of 0.977. To our best knowledge, our robotic ultrasound device is the first device with a parallel mechanism and force-position perception for follow-up diagnosis, featuring automatic acquisition of multiple target ultrasound images.",2024,10.1109/tim.2024.3400342,https://openalex.org/W4396877696,,0,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4396877696,autonomous ultrasound || robot-assisted ultrasound || robotic ultrasound,doi:10.1109/tim.2024.3400342,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4402626678,Autonomous Robotic System for Carotid Artery Ultrasound Scanning With Visual Servo Navigation,"Ultrasound (US) examination is widely used to diagnose carotid artery plaque, which requires the sonographer to guide the probe to scan along a specific path for complete coverage of the carotid artery region. Meanwhile, stable probe-neck interaction is important for high-quality image acquisition. In this study, a robotic system for autonomous carotid US scanning is proposed. To realize the autonomous visual servo movement of the probe, an object tracking method based on improved Siamese network is proposed. Meanwhile, a local quality assessment algorithm is proposed to ensure that carotid ultrasound images are clear and desirable for diagnosis. To address the issue of poor probe-neck contact and loss of carotid object during ultrasound scanning, an automatic recovery control method is proposed to ensure the continuity of the scanning process without the need to stop and restart the scanning. Experimental results show that the robotic system can successfully navigate the probe to move along a path that meets the clinical standard. In addition, the robot can autonomously rediscover the object and return to the normal scanning state if a stuck condition occurs.",2024,10.1109/tmrb.2024.3464109,https://openalex.org/W4402626678,,0,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4402626678,autonomous ultrasound || robotic ultrasound,doi:10.1109/tmrb.2024.3464109,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
Europe PMC,37997016,Robotic tomographic ultrasound and artificial intelligence for management of haemodialysis arteriovenous fistulae.,"<h4>Background</h4>Arteriovenous fistulae (AVF) and Arteriovenous Grafts (AVG) may present a problematic vascular access for renal replacement therapy (RRT), reliant on recurrent specialist nurse and medical evaluation. Dysfunctional accesses are frequently referred 'out of the dialysis clinic' for specialist sonographic examination, with associated delays potentiating loss of vascular access viability and/or need for emergency intervention. Definitive anatomical and functional diagnostics based in the dialysis unit may help to solve these delays and associated complications.<h4>Objectives</h4>This publication reports a novel vascular access monitoring concept, Robotic Tomographic Ultrasound (RTU).<h4>Research design</h4>Robotic Tomographic Ultrasound incorporates a semi-autonomous, robotic vascular ultrasound system and purpose designed analysis software that can be deployed at the point of care. Three-dimensional scan data, as well as conventional B-Mode and Doppler data are obtained by the system and transferred to a cloud based reporting and analysis software. Scans are remotely annotated and interpreted by a sonographer, with diagnostic data presented securely to clinicians on their preferred web based application/web connected device.<h4>Results</h4>Software developed specifically for pre AVF mapping, maturation and monitoring protocols, analyse the data and then present interpreted results to all caring clinicians to assist with decision making. Vascular access planning can be determined with high confidence with data from the Map module. Maturation data can be presented in line with institutional requirements to the dialysis nurse, facilitating precocious needle access.<h4>Conclusion</h4>Robotic Tomographic Ultrasound is a novel approach to vascular access management that may reduce the risk of loss of functional access by regular monitoring with the system; automated alerts guiding clinicians to the need for pre-emptive intervention, and the potential to increase longevity of the vascular access.",2025,10.1177/11297298231210019,https://openalex.org/W4388976107,https://doi.org/10.1177/11297298231210019,1,research-article; Journal Article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,37997016; https://openalex.org/W4388976107,autonomous ultrasound || robotic ultrasound,doi:10.1177/11297298231210019,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W2964012000,Large area all-optical ultrasound imaging using robotic control,"n this study we report the integration of an all-optical ultrasound probe and robotic manipulator. The alloptical ultrasound probe comprised two optical fibres, a MWCNT/PDMS composite coated multimode fibre for ultrasound generation, and a concave Fabry-Perot fibre optic hydrophone for ultrasound reception. The ultrasound probe generated pressures in excess of 2 MPa at 1:5 mm, with a corresponding -6 dB bandwidth of ca. 30 MHz. The probe was built into a rigid endoscope (outer diameter: 5 mm, length: 300 mm) and mounted on a robotic manipulator. Ultrasound A-lines were acquired during robot manipulation in order to reconstruct a 3D image which was displayed as a point cloud. Large area images (80 × 80 mm) of a tissue mimicking gel wax phantom where acquired and displayed in real-time. This work demonstrates the potential for integrating miniature fibre optic ultrasound devices with robotics.",2019,10.1117/12.2525379,https://openalex.org/W2964012000,https://discovery.ucl.ac.uk/10077889/1/Colchester_110771G.pdf,1,conference-paper,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W2964012000,robotic ultrasound,doi:10.1117/12.2525379,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4302594616,Design and Implementation of a Bespoke Robotic Manipulator for Extra-corporeal Ultrasound,"With the potential for high precision, dexterity, and repeatability, a self-tracked robotic system can be employed to assist the acquisition of real-time ultrasound. However, limited numbers of robots designed for extra-corporeal ultrasound have been successfully translated into clinical use. In this study, we aim to build a bespoke robotic manipulator for extra-corporeal ultrasound examination, which is lightweight and has a small footprint. The robot is formed by five specially shaped links and custom-made joint mechanisms for probe manipulation, to cover the necessary range of motion with redundant degrees of freedom to ensure the patient's safety. The mechanical safety is emphasized with a clutch mechanism, to limit the force applied to patients. As a result of the design, the total weight of the manipulator is less than 2 kg and the length of the manipulator is about 25 cm. The design has been implemented, and simulation, phantom, and volunteer studies have been performed, to validate the range of motion, the ability to make fine adjustments, mechanical reliability, and the safe operation of the clutch. This paper details the design and implementation of the bespoke robotic ultrasound manipulator, with the design and assembly methods illustrated. Testing results to demonstrate the design features and clinical experience of using the system are presented. It is concluded that the current proposed robotic manipulator meets the requirements as a bespoke system for extra-corporeal ultrasound examination and has great potential to be translated into clinical use.",2019,10.3791/58811-v,https://openalex.org/W4302594616,,0,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4302594616,robotic ultrasound,doi:10.3791/58811-v,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
Europe PMC,30863982,On the feasibility of transperineal 3D ultrasound image guidance for robotic radical prostatectomy.,"<h4>Purpose</h4>Prostate cancer is the most prevalent form of male-specific cancers. Robot-assisted laparoscopic radical prostatectomy (RALRP) using the da Vinci surgical robot has become the gold-standard treatment for organ-confined prostate cancer. To improve intraoperative visualization of anatomical structures, many groups have developed techniques integrating transrectal ultrasound (TRUS) into the surgical workflow. TRUS, however, is intrusive and does not provide real-time volumetric imaging.<h4>Methods</h4>We propose a proof-of-concept system offering an alternative noninvasive transperineal view of the prostate and surrounding structures using 3D ultrasound (US), allowing for full-volume imaging in any anatomical plane desired. The system aims to automatically track da Vinci surgical instruments and display a real-time US image registered to preoperative MRI. We evaluate the approach using a custom prostate phantom, an iU22 (Philips Healthcare, Bothell, WA) US machine with an xMATRIX X6-1 transducer, and a custom probe fixture. A novel registration method between the da Vinci kinematic frame and 3D US is presented. To evaluate the entire registration pipeline, we use a previously developed MRI to US deformable registration algorithm.<h4>Results</h4>Our US calibration technique yielded a registration error of 0.84 mm, compared to 1.76 mm with existing methods. We evaluated overall system error with a prostate phantom, achieving a target registration error of 2.55 mm.<h4>Conclusion</h4>Transperineal imaging using 3D US is a promising approach for image guidance during RALRP. Preliminary results suggest this system is comparable to existing guidance systems using TRUS. With further development and testing, we believe our system has the potential to improve patient outcomes by imaging anatomical structures and prostate cancer in real time.",2019,10.1007/s11548-019-01938-w,https://openalex.org/W2921423065,,0,Journal Article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,30863982; https://openalex.org/W2921423065,robot-assisted ultrasound || robotic ultrasound,doi:10.1007/s11548-019-01938-w,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4383066552,Dual Robot Collaborative System for Autonomous Venous Access Based on Ultrasound and Bioimpedance Sensing Technology,"Accurate needle insertion is an important task in many medical procedures. This paper studies the case of an autonomous needle insertion system for central venous access, which is a risky and challenging procedure involving the simultaneous manipulation of an ultrasound probe and of a catheterization needle. The goal of this medical operation is to provide access to a deep central vein, which is a key step in cardiovascular treatments or for the administration of drugs and treatments for cancer or infections. Accordingly, in this work we propose an autonomous dual-arm system for central venous access. The system is composed of two Franka robotic arms that are precisely co-registered and collaborate to achieve accurate needle insertion by combining ultrasound and bioimpedance sensing to ensure robust deep vessels visualization and venipuncture detection. The proposed system performance is evaluated on a phantom trainer through experiments simulating the jugular vein access for cardiac catheterization purposes. Quantitative results show the system is able to autonomously scan the area of interest, localize the vein and perform autonomous needle insertion with high accuracy and placement error below 1.7mm, proving the potential of the technology for real clinical use.",2023,10.1109/icra48891.2023.10160848,https://openalex.org/W4383066552,,0,conference-paper,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4383066552,autonomous ultrasound || robotic ultrasound,doi:10.1109/icra48891.2023.10160848,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4403094292,Imitation Learning of Compression Pattern in Robotic-Assisted Ultrasound Examination Using Kernelized Movement Primitives,"Vascular diseases are commonly diagnosed using Ultrasound (US) imaging, which can be inconsistent due to its high dependence on the operator’s skill. Among these, Deep Vein Thrombosis (DVT) is a common yet potentially fatal condition, often leading to critical complications like pulmonary embolism. Robotic US Systems (RUSs) aim to improve diagnostic test consistency but face challenges with the complex scanning pattern requiring precise control over US probe pressure, such as the one needed for indirectly detecting occlusions during DVT assessment. This work introduces an imitation learning method based on Kernelized Movement Primitives (KMP) to standardize the contact force profile during US exams by training a robotic controller using sonographer demonstrations. A new recording device design enhances demonstration acquisition, integrating with US probes and enabling seamless force and position data recording. KMPs are used to link scan trajectory and interaction force, enabling generalization beyond the demonstrations. Our approach, evaluated on synthetic models and volunteers, shows that the KMP-based RUS can replicate an expert’s force control and US image quality, even under conditions requiring compression during scanning. It outperforms previous methods using manually defined force profiles, improving exam standardization and reducing reliance on specialized sonographers.",2024,10.1109/tmrb.2024.3472856,https://openalex.org/W4403094292,https://doi.org/10.1109/tmrb.2024.3472856,1,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4403094292,robot-assisted ultrasound || robotic ultrasound,doi:10.1109/tmrb.2024.3472856,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
Europe PMC,31350090,Robot-assisted partial nephrectomy with a standard laparoscopic ultrasound probe in treating endophytic renal tumor.,"<h4>Objective</h4>To report our experience in treating endophytic renal tumor by robot-assisted partial nephrectomy (RPN) with a standard laparoscopic ultrasound probe and our original approach for separating renal mass.<h4>Methods</h4>All patients with endophytic renal tumor who underwent RPN in our department from January 2015 to December 2017 were retrospectively analyzed. All surgeries were performed by transperitoneally by a single, experienced surgeon. Baseline characteristics, tumor characteristics, operative profile and follow-up data were collected.<h4>Results</h4>Among these 29 patients, 23 patients were male. The mean age of patients was 47.42 years old. 69% (20/29) tumors were completely endophytic tumors. The average tumor size was 3.1 cm. The average R.E.N.A.L. score was 9.0. Tumors from 3 patients were pathologically confirmed to be renal angiomyolipomas. And the rest were malignant including 23 clear cell renal cell carcinoma and 3 chromophobe renal cell carcinoma. The mean operative time was 3.0 h. The mean warm ischemia time was 22.3 min. All tumor margins were pathologically confirmed negative. No patient needed blood transfusion. Two patients presented had Grade II complication. Both of them had a fever after surgery with body temperature over 38 °C, leading to a prolonged postoperative hospitalization time. The mean postoperative hospitalization time was 6.8 days. During mean 21.3-month follow-up, no patient was confirmed to relapse by CT scan.<h4>Conclusion</h4>RPN with a standard laparoscopic ultrasound probe is safe, effective and feasible in treating endophytic renal tumor. Our original approach for separating renal mass can avoid some problems caused by the standard laparoscopic ultrasound probe.",2020,10.1016/j.asjsur.2019.07.005,https://openalex.org/W2962809726,https://www.sciencedirect.com/science/article/pii/S1015958419302507/pdf,1,Journal Article,1.1,A1,robot-assisted ultrasound,Europe PMC; OpenAlex,31350090; https://openalex.org/W2962809726,robot-assisted ultrasound || robotic ultrasound,doi:10.1016/j.asjsur.2019.07.005,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W121275127,Ultrasound-Based Image Guidance for Robot-Assisted Laparoscopic Radical Prostatectomy: Initial in-vivo Results,,2013,10.1007/978-3-642-38568-1_5,https://openalex.org/W121275127,,0,conference-paper,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W121275127,robot-assisted ultrasound || robotic ultrasound,doi:10.1007/978-3-642-38568-1_5,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
Europe PMC,37015119,Visual Perception and Convolutional Neural Network-Based Robotic Autonomous Lung Ultrasound Scanning Localization System.,"Under the situation of severe COVID-19 epidemic, lung ultrasound (LUS) has been proved to be an effective and convenient method to diagnose and evaluate the extent of respiratory disease. However, the traditional clinical ultrasound (US) scanning requires doctors not only to be in close contact with patients but also to have rich experience. In order to alleviate the shortage of medical resources and reduce the work stress and risk of infection for doctors, we propose a visual perception and convolutional neural network (CNN)-based robotic autonomous LUS scanning localization system to realize scanned target recognition, probe pose solution and movement, and the acquisition of US images. The LUS scanned targets are identified through the target segmentation and localization algorithm based on the improved CNN, which is using the depth camera to collect the image information; furthermore, the method based on multiscale compensation normal vector is used to solve the attitude of the probe; finally, a position control strategy based on force feedback is designed to optimize the position and attitude of the probe, which can not only obtain high-quality US images but also ensure the safety of patients and the system. The results of human LUS scanning experiment verify the accuracy and feasibility of the system. The positioning accuracy of the scanned targets is 15.63 ± 0.18 mm, and the distance accuracy and rotation angle accuracy of the probe position calculation are 6.38 ± 0.25 mm and 8.60<sup>°</sup> ±2.29<sup>°</sup> , respectively. More importantly, the obtained high-quality US images can clearly capture the main pathological features of the lung. The system is expected to be applied in clinical practice.",2023,10.1109/tuffc.2023.3263514,https://openalex.org/W4361985019,,0,"Research Support, Non-U.S. Gov't; Journal Article",1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,37015119; https://openalex.org/W4361985019,autonomous ultrasound || robotic ultrasound,doi:10.1109/tuffc.2023.3263514,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4399360520,Automatic image alignment and stitching for ultrasound-based robotic inspection of complex geometry components,"Robotic inspection of complex geometry components using immersion ultrasonic techniques is relevant for many ultrasonic Non-Destructive Testing (NDT) applications in different industries. To image large component, ultrasonic probe is manipulated around the component immersed in water using a robotic guided system to create a tiled image of the entire component. Due to the mechanical vibrations of the high-speed robotic arm, the probe position coordinates provided by the robotic system are not precise enough to ensure an accurate reconstruction (stitching) of a composite image from all individual images. In this work, we propose a stitching method specifically designed to create a single 2D image of the surface of an inspected component from a stack of Total Focusing Method (TFM) images. This stitching method uses Iterative Closest Point (ICP) registration to estimate a 2D rigid transformation between two consecutive 2D images, by maximizing the overlap between the surface geometries extracted from each image. The capabilities of this imaging technique are illustrated by various simulated and experimental results carried out in a water tank. Significant improvements in surface image quality, leading to accurate surface reconstruction, are shown for vertical vibrations with displacements of more than two operating wavelengths and for rotational vibrations with deviation angles of less than 1°. The results also show that the resolving power of the ICP algorithm decreases for strong rotational vibrations.",2024,10.1016/j.ndteint.2024.103158,https://openalex.org/W4399360520,https://doi.org/10.1016/j.ndteint.2024.103158,1,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W4399360520,robotic ultrasound,doi:10.1016/j.ndteint.2024.103158,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
Europe PMC,32133570,Role of intraoperative ultrasound in robotic-assisted radical nephrectomy with inferior vena cava thrombectomy in renal cell carcinoma.,"<h4>Purpose</h4>To determine the impact of intraoperative ultrasound on robotic-assisted radical nephrectomy with inferior vena cava (IVC) tumor thrombectomy in renal cell carcinoma (RCC).<h4>Methods</h4>We retrospectively analyzed intraoperative records of 27 patients with RCC and invasion of the IVC who underwent robotic-assisted nephrectomy with tumor thrombectomy at our center between December 2017 and July 2018. Diagnostic utility and impact of intraoperative transesophageal echocardiography (TEE), intraoperative robotic-assisted ultrasonography, and intraoperative contrast-enhanced ultrasound (CEUS) on surgical management were extracted from the surgical notes and intraoperative ultrasound reports.<h4>Results</h4>Twenty-seven patients with thrombus had intraoperative ultrasound. Complete tumor removal was achieved in 22 patients, IVC transection in 5 patients, and no residual tumor was observed in all patients. Intraoperative TEE changed the robotic surgical strategy in three patients by monitoring thrombus-level regression. Downstaging of the thrombus level occurred in three patients: Levels IV to III in one and Levels III to II in two. Intraoperative robotic-assisted ultrasonography has facilitated safe VC clamp placement and identification and protection of collateral vessels during IVC transection in five patients. Intraoperative CEUS helped to differentiate the boundary between tumor thrombus (enhancement and small vessel pulsation) and bland thrombus (hypoechoic or no enhancement) in eight (29.6%) patients with bland thrombus.<h4>Conclusions</h4>Intraoperative ultrasound is a safe, minimally invasive technique that can provide accurate real-time information regarding the presence and extent of IVC involvement and guidance for placement of a vena cava clamp, confirming the character of the thrombus to plan an optimal surgical approach.",2020,10.1007/s00345-020-03141-y,https://openalex.org/W3009982958,,0,Journal Article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,32133570; https://openalex.org/W3009982958,robot-assisted ultrasound || robotic ultrasound,doi:10.1007/s00345-020-03141-y,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
