task_code,domain,task,paper_key,title,year,doi,sources,record_url,public_full_text_identified,best_public_url,screening_level
A6,Active observational sensing,Robotic auscultation,doi:10.1109/embc58623.2025.11254011,Method of synthesizing and enhancing multiple auscultatory sounds for safe and efficient robotic auscultation.,2025,10.1109/embc58623.2025.11254011,Europe PMC; OpenAlex,https://doi.org/10.1109/embc58623.2025.11254011,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/glbc.2017.7928899,Automated hand support system for robotic ultrasound hand scanner,2017,10.1109/glbc.2017.7928899,Crossref; OpenAlex,https://doi.org/10.1109/glbc.2017.7928899,no,,conservative automated title screen
S1,Sample-based interactive diagnosis,Robotic percutaneous/core biopsy,doi:10.1109/icaace69793.2026.11509110,LSTM-Based Imitation Learning for Autonomous Ultrasound Scanning in Robot-Assisted Biopsy,2026,10.1109/icaace69793.2026.11509110,Crossref; OpenAlex,https://doi.org/10.1109/icaace69793.2026.11509110,no,,conservative automated title screen
S1,Sample-based interactive diagnosis,Robotic percutaneous/core biopsy,doi:10.1109/icar53236.2021.9659396,Autonomy in robotic prostate biopsy through AI-assisted fusion,2021,10.1109/icar53236.2021.9659396,Crossref,https://doi.org/10.1109/icar53236.2021.9659396,no,,conservative automated title screen
S5,Sample-based interactive diagnosis,Robotic swab/specimen collection,doi:10.1109/icat2i69744.2025.11472683,Design and Implementation of a Robotic Arm for Automated Swab Collection in PCR Testing,2025,10.1109/icat2i69744.2025.11472683,Crossref; OpenAlex,https://doi.org/10.1109/icat2i69744.2025.11472683,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/icosr57188.2022.00039,Automatic ultrasound scanning for the Carotid Artery by robotic system,2022,10.1109/icosr57188.2022.00039,Crossref,https://doi.org/10.1109/icosr57188.2022.00039,no,,conservative automated title screen
R1,Response-based interactive diagnosis,Robotic palpation,doi:10.1109/icra.2013.6631198,Autonomous robotic palpation: Machine learning techniques to identify hard inclusions in soft tissues,2013,10.1109/icra.2013.6631198,Crossref; OpenAlex,https://doi.org/10.1109/icra.2013.6631198,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/icra.2016.7487201,Robotic ultrasound trajectory planning for volume of interest coverage,2016,10.1109/icra.2016.7487201,Crossref; OpenAlex,https://doi.org/10.1109/icra.2016.7487201,no,,conservative automated title screen
R1,Response-based interactive diagnosis,Robotic palpation,doi:10.1109/icra.2017.7989729,Towards a soft robotic skin for autonomous tissue palpation,2017,10.1109/icra.2017.7989729,Crossref,https://doi.org/10.1109/icra.2017.7989729,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/icra40945.2020.9196736,Automated robotic breast ultrasound acquisition using ultrasound feedback,2020,10.1109/icra40945.2020.9196736,Crossref,https://doi.org/10.1109/icra40945.2020.9196736,yes,https://ris.utwente.nl/ws/files/247785100/Welleweerd2020automatic.pdf,conservative automated title screen
S2,Sample-based interactive diagnosis,Robotic endoscopic/bronchoscopic biopsy,doi:10.1109/icra46639.2022.9811982,Automatic Biopsy Tool Presence and Episode Recognition in Robotic Bronchoscopy Using a Multi-Task Vision Transformer Network,2022,10.1109/icra46639.2022.9811982,Crossref,https://doi.org/10.1109/icra46639.2022.9811982,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/icra48506.2021.9560865,Out-of-Plane Corrections for Autonomous Robotic Breast Ultrasound Acquisitions,2021,10.1109/icra48506.2021.9560865,Crossref,https://doi.org/10.1109/icra48506.2021.9560865,yes,https://research.utwente.nl/en/publications/5fff52d6-dbda-4aca-8b3e-b5244cd6d844,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/icra48506.2021.9561295,Autonomous Navigation of an Ultrasound Probe Towards Standard Scan Planes with Deep Reinforcement Learning,2021,10.1109/icra48506.2021.9561295,OpenAlex; arXiv,https://doi.org/10.1109/icra48506.2021.9561295,yes,https://arxiv.org/pdf/2103.00718,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1109/icra48506.2021.9561833,Reciprocally Rotating Magnetic Actuation and Automatic Trajectory Following for Wireless Capsule Endoscopy,2021,10.1109/icra48506.2021.9561833,Crossref,https://doi.org/10.1109/icra48506.2021.9561833,no,,conservative automated title screen
S1,Sample-based interactive diagnosis,Robotic percutaneous/core biopsy,doi:10.1109/icra48891.2023.10161377,Collaborative Robotic Biopsy with Trajectory Guidance and Needle Tip Force Feedback,2023,10.1109/icra48891.2023.10161377,Crossref; OpenAlex,https://doi.org/10.1109/icra48891.2023.10161377,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/icra48891.2023.10161542,Robotic Sonographer: Autonomous Robotic Ultrasound using Domain Expertise in Bayesian Optimization,2023,10.1109/icra48891.2023.10161542,OpenAlex; arXiv,https://doi.org/10.1109/icra48891.2023.10161542,yes,https://arxiv.org/pdf/2307.02442,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/icra55743.2025.11127435,Robust Robotic Breast Ultrasound Scanning and Real-Time Lesion Localization,2025,10.1109/icra55743.2025.11127435,Crossref,https://doi.org/10.1109/icra55743.2025.11127435,no,,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1109/irc.2018.00083,Simulation Study of Autonomous Drive for Active Capsule Endoscopy,2018,10.1109/irc.2018.00083,Crossref,https://doi.org/10.1109/irc.2018.00083,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/iros.2013.6696818,Autonomous eFAST ultrasound scanning by a robotic manipulator using learning from demonstrations,2013,10.1109/iros.2013.6696818,Crossref,https://doi.org/10.1109/iros.2013.6696818,no,,conservative automated title screen
S4,Sample-based interactive diagnosis,Robotic venipuncture/phlebotomy,doi:10.1109/iros.2015.7353736,Real-time Needle Steering in Response to Rolling Vein Deformation by a 9-DOF Image-Guided Autonomous Venipuncture Robot.,2015,10.1109/iros.2015.7353736,Europe PMC; OpenAlex,https://doi.org/10.1109/iros.2015.7353736,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/iros.2016.7759101,Automatic force-compliant robotic ultrasound screening of abdominal aortic aneurysms,2016,10.1109/iros.2016.7759101,Crossref; OpenAlex,https://doi.org/10.1109/iros.2016.7759101,no,,conservative automated title screen
S4,Sample-based interactive diagnosis,Robotic venipuncture/phlebotomy,doi:10.1109/iros.2016.7759102,System Design and Development of a Robotic Device for Automated Venipuncture and Diagnostic Blood Cell Analysis.,2016,10.1109/iros.2016.7759102,Europe PMC; OpenAlex,https://doi.org/10.1109/iros.2016.7759102,yes,https://www.ncbi.nlm.nih.gov/pmc/articles/5321615,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1109/iros.2018.8594106,"Autonomous Localization, Navigation and Haustral Fold Detection for Robotic Endoscopy",2018,10.1109/iros.2018.8594106,Crossref; OpenAlex,https://doi.org/10.1109/iros.2018.8594106,no,,conservative automated title screen
S5,Sample-based interactive diagnosis,Robotic swab/specimen collection,doi:10.1109/iros47612.2022.9981349,Visual Servo Control of COVID-19 Nasopharyngeal Swab Sampling Robot,2022,10.1109/iros47612.2022.9981349,Crossref,https://doi.org/10.1109/iros47612.2022.9981349,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/iros51168.2021.9635902,Autonomous Scanning Target Localization for Robotic Lung Ultrasound Imaging.,2021,10.1109/iros51168.2021.9635902,Europe PMC; OpenAlex,https://doi.org/10.1109/iros51168.2021.9635902,yes,https://www.ncbi.nlm.nih.gov/pmc/articles/9373068,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/iros60139.2025.11247389,Quality-Driven Adaptive Control Framework for Robotic Ultrasound Imaging of Vascular Anatomies,2025,10.1109/iros60139.2025.11247389,Crossref; OpenAlex,https://doi.org/10.1109/iros60139.2025.11247389,yes,https://hdl.handle.net/11311/1303493,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/ismr.2019.8710206,An Admittance-Controlled Robotic Assistant for Semi-Autonomous Breast Ultrasound Scanning,2019,10.1109/ismr.2019.8710206,Crossref,https://doi.org/10.1109/ismr.2019.8710206,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/ismr57123.2023.10130193,Deep Kernel and Image Quality Estimators for Optimizing Robotic Ultrasound Controller using Bayesian Optimization,2023,10.1109/ismr57123.2023.10130193,OpenAlex; arXiv,https://doi.org/10.1109/ismr57123.2023.10130193,yes,https://arxiv.org/pdf/2310.07392,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/ismr57123.2023.10130200,Automatic Contact Force-regulated End-effector Using Pneumatic Actuator for Safe Robotic Ultrasound Imaging,2023,10.1109/ismr57123.2023.10130200,Crossref; OpenAlex,https://doi.org/10.1109/ismr57123.2023.10130200,no,,conservative automated title screen
A5,Active observational sensing,Robotic OCT,doi:10.1109/ismr57123.2023.10130250,Robotic Optical Coherence Tomography of Human Subjects with Posture-Invariant Head and Eye Alignment in Six Degrees of Freedom.,2023,10.1109/ismr57123.2023.10130250,Europe PMC; OpenAlex,https://doi.org/10.1109/ismr57123.2023.10130250,yes,https://www.ncbi.nlm.nih.gov/pmc/articles/11293772,conservative automated title screen
A5,Active observational sensing,Robotic OCT,doi:10.1109/ismr67322.2025.11025963,Mobile Robotic Optical Coherence Tomography System for Ophthalmic Imaging in Clinical Environments.,2025,10.1109/ismr67322.2025.11025963,Europe PMC; OpenAlex,https://doi.org/10.1109/ismr67322.2025.11025963,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC12308690/,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/ismr67322.2025.11025984,Deep Learning-Based Segmentation for Autonomous Robot-Assisted Tumor Localization using Ultrasound B-Mode and Strain Elastography Imaging,2025,10.1109/ismr67322.2025.11025984,Crossref,https://doi.org/10.1109/ismr67322.2025.11025984,no,,conservative automated title screen
R2,Response-based interactive diagnosis,Robotic elastography/stiffness mapping,doi:10.1109/ismr67322.2025.11025984,Deep Learning-Based Segmentation for Autonomous Robot-Assisted Tumor Localization using Ultrasound B-Mode and Strain Elastography Imaging,2025,10.1109/ismr67322.2025.11025984,Crossref,https://doi.org/10.1109/ismr67322.2025.11025984,no,,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1109/jbhi.2024.3423791,MonoLoT: Self-Supervised Monocular Depth Estimation in Low-Texture Scenes for Automatic Robotic Endoscopy.,2024,10.1109/jbhi.2024.3423791,Europe PMC; OpenAlex,https://doi.org/10.1109/jbhi.2024.3423791,yes,https://discovery.ucl.ac.uk/10194872/1/MonoLoT_Self-Supervised_Monocular_Depth_Estimation_in_Low-Texture_Scenes_for_Automatic_Robotic_Endoscopy.pdf,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1109/jsen.2025.11235502,In vivo validation of Wireless Power Transfer System for Magnetically Controlled Robotic Capsule Endoscopy,2025,10.1109/jsen.2025.11235502,arXiv,https://doi.org/10.1109/jsen.2025.11235502,yes,https://arxiv.org/pdf/2503.12850,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/lra.2020.3003868,Ultrasound-Guided Wireless Tubular Robotic Anchoring System.,2020,10.1109/lra.2020.3003868,Europe PMC,https://doi.org/10.1109/lra.2020.3003868,yes,https://www.ncbi.nlm.nih.gov/pmc/articles/7610639,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/lra.2021.3056033,Towards Standardized Acquisition with a Dual-probe Ultrasound Robot for Fetal Imaging.,2021,10.1109/lra.2021.3056033,Europe PMC,https://doi.org/10.1109/lra.2021.3056033,yes,https://www.ncbi.nlm.nih.gov/pmc/articles/7610692,conservative automated title screen
R1,Response-based interactive diagnosis,Robotic palpation,doi:10.1109/lra.2021.3058870,Fast Localization and Segmentation of Tissue Abnormalities by Autonomous Robotic Palpation,2021,10.1109/lra.2021.3058870,Crossref; OpenAlex,https://doi.org/10.1109/lra.2021.3058870,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/lra.2022.3146542,RSV: Robotic Sonography for Thyroid Volumetry,2021,10.1109/lra.2022.3146542,OpenAlex; arXiv,https://doi.org/10.1109/lra.2022.3146542,yes,https://arxiv.org/pdf/2112.06761,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/lra.2022.3170209,Medical Ultrasound Image Quality Assessment for Autonomous Robotic Screening,2022,10.1109/lra.2022.3170209,Crossref; OpenAlex,https://doi.org/10.1109/lra.2022.3170209,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/lra.2022.3218183,A-SEE: Active-Sensing End-effector Enabled Probe Self-Normal-Positioning for Robotic Ultrasound Imaging Applications.,2022,10.1109/lra.2022.3218183,Europe PMC; OpenAlex,https://doi.org/10.1109/lra.2022.3218183,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC10266708/pdf/nihms-1850615.pdf,conservative automated title screen
S1,Sample-based interactive diagnosis,Robotic percutaneous/core biopsy,doi:10.1109/lra.2023.3237499,Autonomous Robotic System for Breast Biopsy With Deformation Compensation,2023,10.1109/lra.2023.3237499,Crossref,https://doi.org/10.1109/lra.2023.3237499,yes,https://ieeexplore.ieee.org/ielx7/7083369/10024862/10018406.pdf,conservative automated title screen
A4,Active observational sensing,Robotic bronchoscopy navigation,doi:10.1109/lra.2025.3554104,"A Real-Time, Semi-Autonomous Navigation Platform for Soft Robotic Bronchoscopy.",2025,10.1109/lra.2025.3554104,Europe PMC; OpenAlex,https://doi.org/10.1109/lra.2025.3554104,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC12442719/,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/lra.2025.3555865,Tissue-View Map for Robotic Carotid Artery Ultrasound Scanning Using Reinforcement Learning,2025,10.1109/lra.2025.3555865,Crossref; OpenAlex,https://doi.org/10.1109/lra.2025.3555865,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/lra.2025.3604746,Smooth Path Planning and Dynamic Contact Force Regulation for Robotic Ultrasound Scanning,2025,10.1109/lra.2025.3604746,Crossref; OpenAlex,https://doi.org/10.1109/lra.2025.3604746,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/lra.2026.3665067,Real-Time Coverage Path Planning for Bone-Aware Robotic Ultrasound Scanning,2026,10.1109/lra.2026.3665067,Crossref; OpenAlex,https://doi.org/10.1109/lra.2026.3665067,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/mra.2016.2580478,"Robotic Ultrasound: View Planning, Tracking, and Automatic Acquisition of Transesophageal Echocardiography",2016,10.1109/mra.2016.2580478,Crossref; OpenAlex,https://doi.org/10.1109/mra.2016.2580478,yes,https://kclpure.kcl.ac.uk/ws/files/108592195/Robotic_Ultrasound_View_Planning_Tracking_and_Automatic_Acquisition_of_Trans_esophageal_Echocardiography.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/ro-man60168.2024.10731427,"Trust, Safety and Efficacy of Autonomous Robotic Ultrasound Vascular Imaging Collection on Human Subjects",2024,10.1109/ro-man60168.2024.10731427,Crossref; OpenAlex,https://doi.org/10.1109/ro-man60168.2024.10731427,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/robio.2013.6739561,Development of robotic system for autonomous liver screening using ultrasound scanning device,2013,10.1109/robio.2013.6739561,Crossref,https://doi.org/10.1109/robio.2013.6739561,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/robio54168.2021.9739464,Learning Robotic Ultrasound Scanning Skills via Human Demonstrations and Guided Explorations,2021,10.1109/robio54168.2021.9739464,OpenAlex; arXiv,https://doi.org/10.1109/robio54168.2021.9739464,yes,https://arxiv.org/pdf/2111.01625,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/robio64047.2024.10907531,Autonomous In-Plane Normal Positioning in Robotic Ultrasound Scanning,2024,10.1109/robio64047.2024.10907531,Crossref; OpenAlex,https://doi.org/10.1109/robio64047.2024.10907531,no,,conservative automated title screen
R1,Response-based interactive diagnosis,Robotic palpation,doi:10.1109/tase.2020.2978881,Depth Estimation of Hard Inclusions in Soft Tissue by Autonomous Robotic Palpation Using Deep Recurrent Neural Network,2020,10.1109/tase.2020.2978881,Crossref; OpenAlex,https://doi.org/10.1109/tase.2020.2978881,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tase.2022.3189339,A Flexible and Fully Autonomous Breast Ultrasound Scanning System,2022,10.1109/tase.2022.3189339,Crossref; OpenAlex,https://doi.org/10.1109/tase.2022.3189339,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tase.2023.3282974,Task Space Compliant Control and Six-Dimensional Force Regulation Toward Automated Robotic Ultrasound Imaging,2023,10.1109/tase.2023.3282974,Crossref; OpenAlex,https://doi.org/10.1109/tase.2023.3282974,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tase.2024.3411784,Class-Aware Cartilage Segmentation for Autonomous US-CT Registration in Robotic Intercostal Ultrasound Imaging,2025,10.1109/tase.2024.3411784,Crossref,https://doi.org/10.1109/tase.2024.3411784,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tase.2026.3684122,Path Generation and Stable Interaction Control for Autonomous Robotic Breast Ultrasound Scanning,2026,10.1109/tase.2026.3684122,Crossref,https://doi.org/10.1109/tase.2026.3684122,no,,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1109/tbme.2020.3043388,Enabling Autonomous Colonoscopy Intervention Using a Robotic Endoscope Platform.,2021,10.1109/tbme.2020.3043388,Europe PMC,https://doi.org/10.1109/tbme.2020.3043388,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tbme.2021.3054413,Autonomic Robotic Ultrasound Imaging System Based on Reinforcement Learning.,2021,10.1109/tbme.2021.3054413,Europe PMC; OpenAlex,https://doi.org/10.1109/tbme.2021.3054413,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tbme.2023.3279114,Autonomous Robotic Ultrasound Vascular Imaging System With Decoupled Control Strategy for External-Vision-Free Environments.,2023,10.1109/tbme.2023.3279114,Europe PMC; OpenAlex,https://doi.org/10.1109/tbme.2023.3279114,no,,conservative automated title screen
R1,Response-based interactive diagnosis,Robotic palpation,doi:10.1109/tbme.2024.3357293,A Minimally Invasive Robotic Tissue Palpation Device.,2024,10.1109/tbme.2024.3357293,Europe PMC; OpenAlex,https://doi.org/10.1109/tbme.2024.3357293,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC11178256/pdf/nihms-1995939.pdf,conservative automated title screen
A3,Active observational sensing,Active/magnetic capsule endoscopy,doi:10.1109/tbme.2024.3401681,Hybrid Hydrogel-Magnet Actuated Capsule for Automatic Gut Microbiome Sampling,2024,10.1109/tbme.2024.3401681,Crossref,https://doi.org/10.1109/tbme.2024.3401681,no,,conservative automated title screen
S3,Sample-based interactive diagnosis,Capsule tissue/fluid sampling,doi:10.1109/tbme.2024.3401681,Hybrid Hydrogel-Magnet Actuated Capsule for Automatic Gut Microbiome Sampling,2024,10.1109/tbme.2024.3401681,Crossref,https://doi.org/10.1109/tbme.2024.3401681,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tbme.2025.3634552,Quasi-static Elastography-driven Automated Robotic Ultrasound Screening and Localization.,2025,10.1109/tbme.2025.3634552,Europe PMC; OpenAlex,https://doi.org/10.1109/tbme.2025.3634552,no,,conservative automated title screen
R2,Response-based interactive diagnosis,Robotic elastography/stiffness mapping,doi:10.1109/tbme.2025.3634552,Quasi-static Elastography-driven Automated Robotic Ultrasound Screening and Localization.,2025,10.1109/tbme.2025.3634552,Europe PMC; OpenAlex,https://doi.org/10.1109/tbme.2025.3634552,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tie.2016.2557306,"Adaptive Kinematic Control of a Robotic Venipuncture Device Based on Stereo Vision, Ultrasound, and Force Guidance.",2017,10.1109/tie.2016.2557306,Europe PMC; OpenAlex,https://doi.org/10.1109/tie.2016.2557306,yes,https://www.ncbi.nlm.nih.gov/pmc/articles/5240937,conservative automated title screen
S4,Sample-based interactive diagnosis,Robotic venipuncture/phlebotomy,doi:10.1109/tie.2016.2557306,"Adaptive Kinematic Control of a Robotic Venipuncture Device Based on Stereo Vision, Ultrasound, and Force Guidance.",2017,10.1109/tie.2016.2557306,Europe PMC; OpenAlex,https://doi.org/10.1109/tie.2016.2557306,yes,https://www.ncbi.nlm.nih.gov/pmc/articles/5240937,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tie.2020.3036215,Automatic Force-Based Probe Positioning for Precise Robotic Ultrasound Acquisition,2020,10.1109/tie.2020.3036215,Crossref; OpenAlex,https://doi.org/10.1109/tie.2020.3036215,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tie.2021.3095787,Autonomous Robotic Screening of Tubular Structures Based Only on Real-Time Ultrasound Imaging Feedback,2022,10.1109/tie.2021.3095787,Crossref,https://doi.org/10.1109/tie.2021.3095787,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tie.2022.3220864,SAPM: Self-Adaptive Parallel Manipulator with Pose and Force Adjustment for Robotic Ultrasonography.,2023,10.1109/tie.2022.3220864,Europe PMC,https://doi.org/10.1109/tie.2022.3220864,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC7614654/pdf/EMS174140.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tii.2018.2871864,Robotic Arm Based Automatic Ultrasound Scanning for Three-Dimensional Imaging,2018,10.1109/tii.2018.2871864,Crossref; OpenAlex,https://doi.org/10.1109/tii.2018.2871864,yes,http://ir.opt.ac.cn/handle/181661/31194,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tim.2021.3085110,Automatic 3-D Imaging and Measurement of Human Spines With a Robotic Ultrasound System,2021,10.1109/tim.2021.3085110,Crossref; OpenAlex,https://doi.org/10.1109/tim.2021.3085110,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tim.2022.3200360,Precise Repositioning of Robotic Ultrasound: Improving Registration-based Motion Compensation using Ultrasound Confidence Optimization,2022,10.1109/tim.2022.3200360,OpenAlex; arXiv,https://doi.org/10.1109/tim.2022.3200360,yes,https://arxiv.org/pdf/2208.05383,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tim.2023.3239925,A Novel Ultrasound Robot with Force/torque Measurement and Control for Safe and Efficient Scanning.,2023,10.1109/tim.2023.3239925,Europe PMC,https://doi.org/10.1109/tim.2023.3239925,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC7614653/pdf/EMS164661.pdf,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tim.2024.3353836,Robot-Assisted Autonomous Ultrasound Imaging for Carotid Artery,2024,10.1109/tim.2024.3353836,Crossref; OpenAlex,https://doi.org/10.1109/tim.2024.3353836,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tim.2024.3400342,A Portable Robot-Assisted Device With Built-In Intelligence for Autonomous Ultrasound Acquisitions in Follow-Up Diagnosis,2024,10.1109/tim.2024.3400342,Crossref; OpenAlex,https://doi.org/10.1109/tim.2024.3400342,no,,conservative automated title screen
S1,Sample-based interactive diagnosis,Robotic percutaneous/core biopsy,doi:10.1109/tim.2025.3561373,An Autonomous Liver Biopsy Robotic System Under Respiratory Motion,2025,10.1109/tim.2025.3561373,Crossref,https://doi.org/10.1109/tim.2025.3561373,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tmech.2025.3572571,An Efficient Deep Reinforcement Learning Approach for Autonomous Ultrasound Scanning Robot Based on Multimodal Sensing and Distance ProbSparse Self-Attention,2025,10.1109/tmech.2025.3572571,Crossref; OpenAlex,https://doi.org/10.1109/tmech.2025.3572571,no,,conservative automated title screen
R1,Response-based interactive diagnosis,Robotic palpation,doi:10.1109/tmech.2026.3691370,A Stiffness-Adaptive Visuo-Tactile Robotic Palpation System for Surface Texture Profiling and Deep Lesion Localization,2026,10.1109/tmech.2026.3691370,Crossref,https://doi.org/10.1109/tmech.2026.3691370,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tmi.2025.3571392,Online 4D Ultrasound-Guided Robotic Tracking Enables 3D Ultrasound Localization Microscopy With Large Tissue Displacements.,2025,10.1109/tmi.2025.3571392,Europe PMC,https://doi.org/10.1109/tmi.2025.3571392,yes,https://www.ncbi.nlm.nih.gov/pmc/articles/7617744,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tmrb.2020.3047154,Robot-Assisted Semi-Autonomous Ultrasound Imaging With Tactile Sensing and Convolutional Neural-Networks,2020,10.1109/tmrb.2020.3047154,Crossref; OpenAlex,https://doi.org/10.1109/tmrb.2020.3047154,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tmrb.2021.3127015,Image-Guided Navigation of a Robotic Ultrasound Probe for Autonomous Spinal Sonography Using a Shadow-aware Dual-Agent Framework,2021,10.1109/tmrb.2021.3127015,OpenAlex; arXiv,https://doi.org/10.1109/tmrb.2021.3127015,yes,https://arxiv.org/pdf/2111.02167,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1109/tmrb.2024.3349623,A Simultaneous Polyp and Lumen Detection Framework Toward Autonomous Robotic Colonoscopy,2024,10.1109/tmrb.2024.3349623,Crossref; OpenAlex,https://doi.org/10.1109/tmrb.2024.3349623,no,,conservative automated title screen
S5,Sample-based interactive diagnosis,Robotic swab/specimen collection,doi:10.1109/tmrb.2024.3377360,The LINGCAI-II System: A Sampling Robotic System for Autonomous Oropharyngeal Swab Sampling,2024,10.1109/tmrb.2024.3377360,Crossref,https://doi.org/10.1109/tmrb.2024.3377360,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tmrb.2024.3464109,Autonomous Robotic System for Carotid Artery Ultrasound Scanning With Visual Servo Navigation,2024,10.1109/tmrb.2024.3464109,Crossref,https://doi.org/10.1109/tmrb.2024.3464109,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tmrb.2024.3464698,Coaching a Robotic Sonographer: Learning Robotic Ultrasound with Sparse Expert's Feedback,2024,10.1109/tmrb.2024.3464698,OpenAlex; arXiv,https://doi.org/10.1109/tmrb.2024.3464698,yes,https://arxiv.org/pdf/2409.02337,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1109/tmrb.2024.3472856,Imitation Learning for Robotic Assisted Ultrasound Examination of Deep Venous Thrombosis using Kernelized Movement Primitives,2024,10.1109/tmrb.2024.3472856,Crossref; OpenAlex; arXiv,https://doi.org/10.1109/tmrb.2024.3472856,yes,https://doi.org/10.1109/tmrb.2024.3472856,conservative automated title screen
S5,Sample-based interactive diagnosis,Robotic swab/specimen collection,doi:10.1109/tmrb.2025.3550667,Robotic Eye-in-Hand Visual Servo Axially Aligning Nasopharyngeal Swabs With the Nasal Cavity,2025,10.1109/tmrb.2025.3550667,Crossref,https://doi.org/10.1109/tmrb.2025.3550667,no,,conservative automated title screen
